group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dynamic simple,,,,,1106299.0,ns,7
dynamic simple,,,,,2196394.0,ns,14
dynamic simple,,,,,3279667.0,ns,21
dynamic simple,,,,,4851843.0,ns,28
dynamic simple,,,,,5505364.0,ns,35
dynamic simple,,,,,6586699.0,ns,42
dynamic simple,,,,,8408917.0,ns,49
dynamic simple,,,,,8825471.0,ns,56
dynamic simple,,,,,9870859.0,ns,63
dynamic simple,,,,,10975452.0,ns,70
dynamic simple,,,,,12183787.0,ns,77
dynamic simple,,,,,13217244.0,ns,84
dynamic simple,,,,,14416988.0,ns,91
dynamic simple,,,,,15564452.0,ns,98
dynamic simple,,,,,16551340.0,ns,105
dynamic simple,,,,,17666489.0,ns,112
dynamic simple,,,,,18939717.0,ns,119
dynamic simple,,,,,19856230.0,ns,126
dynamic simple,,,,,20942366.0,ns,133
dynamic simple,,,,,22041414.0,ns,140
dynamic simple,,,,,23383883.0,ns,147
dynamic simple,,,,,24509122.0,ns,154
dynamic simple,,,,,25366472.0,ns,161
dynamic simple,,,,,26437087.0,ns,168
dynamic simple,,,,,26968074.0,ns,175
dynamic simple,,,,,28071273.0,ns,182
dynamic simple,,,,,28749268.0,ns,189
dynamic simple,,,,,29874059.0,ns,196
dynamic simple,,,,,31028106.0,ns,203
dynamic simple,,,,,32318746.0,ns,210
dynamic simple,,,,,33209997.0,ns,217
dynamic simple,,,,,34381868.0,ns,224
dynamic simple,,,,,35401223.0,ns,231
dynamic simple,,,,,36454551.0,ns,238
dynamic simple,,,,,37534460.0,ns,245
dynamic simple,,,,,38916286.0,ns,252
dynamic simple,,,,,40047984.0,ns,259
dynamic simple,,,,,41467832.0,ns,266
dynamic simple,,,,,42622329.0,ns,273
dynamic simple,,,,,44666207.0,ns,280
dynamic simple,,,,,47243371.0,ns,287
dynamic simple,,,,,48625466.0,ns,294
dynamic simple,,,,,49582842.0,ns,301
dynamic simple,,,,,50762618.0,ns,308
dynamic simple,,,,,48915899.0,ns,315
dynamic simple,,,,,48962371.0,ns,322
dynamic simple,,,,,49821722.0,ns,329
dynamic simple,,,,,49648014.0,ns,336
dynamic simple,,,,,50590536.0,ns,343
dynamic simple,,,,,56443621.0,ns,350
dynamic simple,,,,,52964572.0,ns,357
dynamic simple,,,,,53711216.0,ns,364
dynamic simple,,,,,55072058.0,ns,371
dynamic simple,,,,,54804502.0,ns,378
dynamic simple,,,,,55527757.0,ns,385
dynamic simple,,,,,56352349.0,ns,392
dynamic simple,,,,,57372814.0,ns,399
dynamic simple,,,,,58440402.0,ns,406
dynamic simple,,,,,59277793.0,ns,413
dynamic simple,,,,,62483882.0,ns,420
dynamic simple,,,,,65622898.0,ns,427
dynamic simple,,,,,76659905.0,ns,434
dynamic simple,,,,,70328818.0,ns,441
dynamic simple,,,,,73834609.0,ns,448
dynamic simple,,,,,87014249.0,ns,455
dynamic simple,,,,,94667297.0,ns,462
dynamic simple,,,,,103789834.0,ns,469
dynamic simple,,,,,88263292.0,ns,476
dynamic simple,,,,,92887431.0,ns,483
dynamic simple,,,,,87324503.0,ns,490
dynamic simple,,,,,87480168.0,ns,497
dynamic simple,,,,,91151529.0,ns,504
dynamic simple,,,,,112776114.0,ns,511
dynamic simple,,,,,98390269.0,ns,518
dynamic simple,,,,,98727305.0,ns,525
dynamic simple,,,,,97779468.0,ns,532
dynamic simple,,,,,94565679.0,ns,539
dynamic simple,,,,,91001372.0,ns,546
dynamic simple,,,,,89388514.0,ns,553
dynamic simple,,,,,87313656.0,ns,560
dynamic simple,,,,,86234733.0,ns,567
dynamic simple,,,,,87187678.0,ns,574
dynamic simple,,,,,86825872.0,ns,581
dynamic simple,,,,,87737646.0,ns,588
dynamic simple,,,,,88035793.0,ns,595
dynamic simple,,,,,87800814.0,ns,602
dynamic simple,,,,,88902014.0,ns,609
dynamic simple,,,,,88523896.0,ns,616
dynamic simple,,,,,90229759.0,ns,623
dynamic simple,,,,,91575918.0,ns,630
dynamic simple,,,,,98291507.0,ns,637
dynamic simple,,,,,93924366.0,ns,644
dynamic simple,,,,,93601529.0,ns,651
dynamic simple,,,,,94893050.0,ns,658
dynamic simple,,,,,95550768.0,ns,665
dynamic simple,,,,,96447843.0,ns,672
dynamic simple,,,,,97926638.0,ns,679
dynamic simple,,,,,103120544.0,ns,686
dynamic simple,,,,,105342575.0,ns,693
dynamic simple,,,,,111033115.0,ns,700
